protocol,method,macro_f1,micro_f1,worst_class_recall,num_samples,observed_classes,dominant_share
forward_temporal,OpenCLIP linear probe,0.10246392814136572,0.5979880774962743,0.0,2684,13,0.4899403874813711
forward_temporal,OpenCLIP full FT,0.14124120469903467,0.565946348733234,0.0,2684,13,0.4899403874813711
forward_temporal,Qwen pair LoRA,0.3711209219220094,0.8477734302217254,0.0,2684,13,0.4899403874813711
session_disjoint,OpenCLIP linear probe,0.1530078053918225,0.5125838926174496,0.0,2384,18,0.4052013422818792
session_disjoint,OpenCLIP full FT,0.22861161531241647,0.4974832214765101,0.0,2384,18,0.4052013422818792
session_disjoint,Qwen pair LoRA,0.6764417238228517,0.8603821121142138,0.3,2384,18,0.4052013422818792
unseen_site,OpenCLIP linear probe,0.1316315674831687,0.425054704595186,0.0,1828,18,0.40809628008752735
unseen_site,OpenCLIP full FT,0.2269762684687263,0.5136761487964989,0.0,1828,18,0.40809628008752735
unseen_site,Qwen pair LoRA,0.7012894243078809,0.8781823159047358,0.2777777777777778,1828,18,0.40809628008752735
