protocol,evaluation_mode,num_samples,skipped,valid_output_rate,median_iou,recall_iou_025,recall_iou_050,recall_iou_075,normalized_center_error,accuracy,macro_f1,weighted_f1,observed_classes,zero_f1_present_classes,relaxed_valid_rate,relaxed_recall_iou_025
forward_temporal,Localization,5092,0,0.5924980361,0.0,0.0390809112,0.0060879811,0.0,0.5566013113,,,,,,0.7916339356,0.0598978790
forward_temporal,Detection bbox-only,5092,0,0.9884131972,0.0,0.0883739199,0.0168892380,0.0011783189,0.2565221793,,,,,,,
forward_temporal,Detection joint,5092,0,0.9884131972,0.0,0.0170856245,0.0037313433,0.0001963865,0.9378447715,0.0734485467,0.0464507424,0.0982281070,52,26,,
session_disjoint,Localization,5293,30,0.5531834498,0.0,0.0417532590,0.0081239373,0.0009446439,0.5846508025,,,,,,0.7611940299,0.0750047232
session_disjoint,Detection bbox-only,5293,30,0.9909314189,0.0073405001,0.1262044209,0.0332514642,0.0077460797,0.2451098751,,,,,,,
session_disjoint,Detection joint,5293,30,0.9909314189,0.0,0.0908747402,0.0268278859,0.0075571510,0.7158511452,0.3483846590,0.0655121332,0.4449491069,60,38,,
